periodo_dia,zona_origem,zona_destino,qtd_fluxos,prob_destino_dado_origem,label_fluxo
tarde,3,1,246108,0.115156,P tarde | 3→1
manha,3,1,175048,0.093136,P manha | 3→1
noite,3,1,163027,0.120232,P noite | 3→1
tarde,4,2,69830,0.073861,P tarde | 4→2
tarde,1,5,66575,0.04053,P tarde | 1→5
tarde,1,3,62238,0.03789,P tarde | 1→3
tarde,3,4,59834,0.027997,P tarde | 3→4
manha,1,3,53451,0.036921,P manha | 1→3
noite,4,2,51989,0.080726,P noite | 4→2
tarde,4,3,45767,0.048409,P tarde | 4→3
manha,4,3,44827,0.056837,P manha | 4→3
noite,1,5,43186,0.04086,P noite | 1→5
manha,1,5,40400,0.027906,P manha | 1→5
manha,3,4,40170,0.021373,P manha | 3→4
manha,4,2,38475,0.048783,P manha | 4→2
noite,3,4,37563,0.027703,P noite | 3→4
noite,1,3,30941,0.029274,P noite | 1→3
tarde,3,5,29822,0.013954,P tarde | 3→5
madrugada,3,1,29762,0.114918,P madrugada | 3→1
manha,2,4,29111,0.082069,P manha | 2→4
